pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipEscrutado,prePorcParticipEscrutado,preParticipacion,preCandidatos,OT_Codigo,OT_Votos,OT_PVotos
"02","001","999",45,42,9.33300018e+01,10519,9.98700027e+01,9477,8.99700012e+01,1042,9.89000034e+00,14,1.29999995e-01,0,0.00000000e+00,14241,10533,7.39599991e+01,,7.98600006e+01,,,"9997",0,0.00000000e+00
"02","002","999",30,29,9.66699982e+01,7617,9.99499969e+01,7076,9.28499985e+01,541,7.09999990e+00,3,3.99999991e-02,1,9.99999978e-03,9209,7621,8.27600021e+01,,8.60299988e+01,,,"9997",0,0.00000000e+00
"02","003","999",1237,1196,9.66900024e+01,331446,9.91600037e+01,303298,9.07399979e+01,28148,8.42000008e+00,2581,7.69999981e-01,228,7.00000003e-02,434038,334255,7.70100021e+01,,7.96600037e+01,,,"9997",0,0.00000000e+00
"02","004","999",848,827,9.75199966e+01,225925,9.95000000e+01,213479,9.40199966e+01,12446,5.48000002e+00,999,4.39999998e-01,136,5.99999987e-02,297007,227060,7.64499969e+01,,7.83899994e+01,,,"9997",0,0.00000000e+00
"02","005","999",59,52,8.81399994e+01,12971,9.96500015e+01,11162,8.57600021e+01,1809,1.38999996e+01,35,2.70000011e-01,10,7.00000003e-02,17091,13016,7.61600037e+01,,8.34599991e+01,,,"9997",0,0.00000000e+00
"02","006","999",168,164,9.76200027e+01,42285,9.92200012e+01,37699,8.84599991e+01,4586,1.07600002e+01,322,7.59999990e-01,10,1.99999996e-02,55377,42617,7.69599991e+01,,7.89499969e+01,,,"9997",0,0.00000000e+00
"02","007","999",708,679,9.59000015e+01,180626,9.90299988e+01,166260,9.11600037e+01,14366,7.88000011e+00,1658,9.10000026e-01,105,5.00000007e-02,245619,182389,7.42600021e+01,,7.74599991e+01,,,"9997",0,0.00000000e+00
"02","008","999",112,105,9.37500000e+01,29052,9.96699982e+01,26419,9.06299973e+01,2633,9.02999973e+00,91,3.10000002e-01,6,2.99999993e-02,38013,29149,7.66800003e+01,,8.19599991e+01,,,"9997",0,0.00000000e+00
"02","009","999",85,82,9.64700012e+01,21847,9.95299988e+01,19815,9.02699966e+01,2032,9.26000023e+00,98,4.49999988e-01,5,1.99999996e-02,27435,21950,8.00100021e+01,,8.31800003e+01,,,"9997",0,0.00000000e+00
"02","010","999",72,72,1.00000000e+02,20319,9.98099976e+01,18739,9.20500031e+01,1580,7.76000023e+00,37,1.80000007e-01,2,9.99999978e-03,24018,20358,8.47600021e+01,,8.47600021e+01,,,"9997",0,0.00000000e+00
"02","011","999",731,706,9.65800018e+01,200945,9.95800018e+01,180974,8.96800003e+01,19971,9.89999962e+00,792,3.89999986e-01,65,2.99999993e-02,254503,201802,7.92900009e+01,,8.21100006e+01,,,"9997",0,0.00000000e+00
"02","012","999",222,214,9.64000015e+01,60991,9.93300018e+01,55787,9.08600006e+01,5204,8.47999954e+00,295,4.79999989e-01,114,1.80000007e-01,77615,61400,7.91100006e+01,,8.20699997e+01,,,"9997",0,0.00000000e+00
"02","013","999",93,91,9.78499985e+01,24156,9.94400024e+01,22121,9.10599976e+01,2035,8.38000011e+00,108,4.39999998e-01,29,1.19999997e-01,29812,24293,8.14899979e+01,,8.24899979e+01,,,"9997",0,0.00000000e+00
"02","014","999",107,106,9.90699997e+01,28772,9.91900024e+01,26823,9.24700012e+01,1949,6.71999979e+00,227,7.79999971e-01,8,2.99999993e-02,35200,29007,8.24100037e+01,,8.32300034e+01,,,"9997",0,0.00000000e+00
"02","015","999",66,63,9.54499969e+01,17519,9.92500000e+01,15539,8.80299988e+01,1980,1.12200003e+01,111,6.29999995e-01,22,1.19999997e-01,21985,17652,8.02900009e+01,,8.43199997e+01,,,"9997",0,0.00000000e+00
"02","016","999",217,207,9.53899994e+01,59539,9.94300003e+01,54383,9.08199997e+01,5156,8.60999966e+00,296,4.90000010e-01,45,7.99999982e-02,75340,59880,7.94800034e+01,,8.33499985e+01,,,"9997",0,0.00000000e+00
"02","017","999",121,119,9.83499985e+01,32789,9.93000031e+01,30568,9.25800018e+01,2221,6.73000002e+00,210,6.39999986e-01,20,5.00000007e-02,40793,33019,8.09400024e+01,,8.23600006e+01,,,"9997",0,0.00000000e+00
"02","018","999",36,35,9.72200012e+01,9681,9.96200027e+01,8481,8.72699966e+01,1200,1.23500004e+01,27,2.80000001e-01,10,1.00000001e-01,12004,9718,8.09599991e+01,,8.33899994e+01,,,"9997",0,0.00000000e+00
"02","019","999",59,58,9.83099976e+01,15035,9.98499985e+01,13750,9.13099976e+01,1285,8.52999973e+00,15,1.00000001e-01,8,5.99999987e-02,18732,15058,8.03899994e+01,,8.19100037e+01,,,"9997",0,0.00000000e+00
"02","020","999",31,31,1.00000000e+02,8762,9.96900024e+01,8196,9.32500000e+01,566,6.44000006e+00,20,2.30000004e-01,7,7.99999982e-02,9841,8789,8.93099976e+01,,8.93099976e+01,,,"9997",0,0.00000000e+00
"02","021","999",38,38,1.00000000e+02,10459,9.98099976e+01,9153,8.73499985e+01,1306,1.24600000e+01,17,1.59999996e-01,3,2.99999993e-02,12471,10479,8.40299988e+01,,8.40299988e+01,,,"9997",0,0.00000000e+00
"02","022","999",77,74,9.60999985e+01,19107,9.95899963e+01,17391,9.06500015e+01,1716,8.93999958e+00,70,3.60000014e-01,8,5.00000007e-02,26035,19185,7.36900024e+01,,7.68000031e+01,,,"9997",0,0.00000000e+00
"02","023","999",24,23,9.58300018e+01,5895,9.97600021e+01,5402,9.14199982e+01,493,8.34000015e+00,13,2.19999999e-01,1,1.99999996e-02,7356,5909,8.03300018e+01,,8.43300018e+01,,,"9997",0,0.00000000e+00
"02","024","999",61,58,9.50800018e+01,16027,9.96600037e+01,14476,9.00199966e+01,1551,9.64000034e+00,50,3.10000002e-01,4,2.99999993e-02,20432,16081,7.86999969e+01,,8.29599991e+01,,,"9997",0,0.00000000e+00
"02","025","999",46,46,1.00000000e+02,11179,9.96299973e+01,9758,8.69599991e+01,1421,1.26599998e+01,39,3.49999994e-01,3,2.99999993e-02,13617,11221,8.24000015e+01,,8.24000015e+01,,,"9997",0,0.00000000e+00
"02","026","999",63,62,9.84100037e+01,15573,9.96699982e+01,13258,8.48499985e+01,2315,1.48199997e+01,45,2.89999992e-01,7,3.99999991e-02,20038,15625,7.79800034e+01,,7.93700027e+01,,,"9997",0,0.00000000e+00
"02","027","999",144,141,9.79199982e+01,36458,9.95000000e+01,33551,9.15699997e+01,2907,7.92999983e+00,178,4.90000010e-01,5,9.99999978e-03,48407,36641,7.56900024e+01,,7.73700027e+01,,,"9997",0,0.00000000e+00
"02","028","999",103,96,9.31999969e+01,25534,9.93600006e+01,23045,8.96699982e+01,2489,9.68999958e+00,153,6.00000024e-01,12,3.99999991e-02,33417,25699,7.69000015e+01,,8.20899963e+01,,,"9997",0,0.00000000e+00
"02","029","999",122,120,9.83600006e+01,33104,9.94199982e+01,31409,9.43300018e+01,1695,5.09000015e+00,172,5.19999981e-01,20,5.99999987e-02,40257,33296,8.27099991e+01,,8.41699982e+01,,,"9997",0,0.00000000e+00
"02","030","999",94,93,9.89400024e+01,25918,9.98499985e+01,23422,9.02300034e+01,2496,9.61999989e+00,34,1.29999995e-01,6,1.99999996e-02,31031,25958,8.36500015e+01,,8.36900024e+01,,,"9997",0,0.00000000e+00
"02","031","999",173,170,9.82699966e+01,46278,9.96200027e+01,43599,9.38600006e+01,2679,5.76999998e+00,151,3.30000013e-01,24,3.99999991e-02,56470,46453,8.22600021e+01,,8.38199997e+01,,,"9997",0,0.00000000e+00
"02","032","999",44,44,1.00000000e+02,12307,9.95899963e+01,11415,9.23700027e+01,892,7.21999979e+00,50,4.00000006e-01,1,9.99999978e-03,14225,12358,8.68799973e+01,,8.68799973e+01,,,"9997",0,0.00000000e+00
"02","033","999",70,68,9.71399994e+01,18642,9.94499969e+01,17068,9.10500031e+01,1574,8.39999962e+00,87,4.60000008e-01,16,9.00000036e-02,23369,18745,8.02099991e+01,,8.26900024e+01,,,"9997",0,0.00000000e+00
"02","034","999",149,145,9.73199997e+01,40652,9.94000015e+01,36722,8.97900009e+01,3930,9.60999966e+00,221,5.40000021e-01,25,5.99999987e-02,51843,40898,7.88899994e+01,,8.10800018e+01,,,"9997",0,0.00000000e+00
"02","035","999",486,466,9.58799973e+01,131257,9.95000000e+01,118585,8.99000015e+01,12672,9.60999966e+00,546,4.09999996e-01,108,7.99999982e-02,169936,131911,7.76200027e+01,,8.09599991e+01,,,"9997",0,0.00000000e+00
"02","036","999",643,629,9.78199997e+01,173456,9.92099991e+01,159323,9.11299973e+01,14133,8.07999992e+00,1241,7.09999979e-01,132,7.99999982e-02,226143,174829,7.73099976e+01,,7.90199966e+01,,,"9997",0,0.00000000e+00
"02","037","999",76,70,9.21100006e+01,19041,9.93300018e+01,17422,9.08899994e+01,1619,8.44999981e+00,116,6.10000014e-01,12,5.00000007e-02,25662,19169,7.46999969e+01,,8.13600006e+01,,,"9997",0,0.00000000e+00
"02","038","999",870,810,9.30999985e+01,224566,9.93600006e+01,198684,8.79100037e+01,25882,1.14499998e+01,1241,5.50000012e-01,211,9.00000036e-02,304902,226018,7.41299973e+01,,7.95299988e+01,,,"9997",0,0.00000000e+00
"02","039","999",101,97,9.60400009e+01,25419,9.94899979e+01,23664,9.26200027e+01,1755,6.86999989e+00,105,4.09999996e-01,26,1.00000001e-01,34005,25550,7.51399994e+01,,7.77500000e+01,,,"9997",0,0.00000000e+00
"02","040","999",27,25,9.25899963e+01,6461,9.99100037e+01,5722,8.84800034e+01,739,1.14300003e+01,6,9.00000036e-02,0,0.00000000e+00,8280,6467,7.80999985e+01,,8.19100037e+01,,,"9997",0,0.00000000e+00
"02","041","999",44,44,1.00000000e+02,12146,9.95599976e+01,11437,9.37500000e+01,709,5.80999994e+00,49,4.00000006e-01,5,3.99999991e-02,14241,12200,8.56699982e+01,,8.56699982e+01,,,"9997",0,0.00000000e+00
"02","042","999",48,48,1.00000000e+02,13068,9.97600021e+01,11966,9.13499985e+01,1102,8.40999985e+00,24,1.80000007e-01,7,5.99999987e-02,15449,13099,8.47900009e+01,,8.47900009e+01,,,"9997",0,0.00000000e+00
"02","043","999",9,9,1.00000000e+02,2107,9.98600006e+01,1923,9.11399994e+01,184,8.72000027e+00,3,1.40000001e-01,0,0.00000000e+00,2457,2110,8.58799973e+01,,8.58799973e+01,,,"9997",0,0.00000000e+00
"02","044","999",32,31,9.68799973e+01,7693,9.93700027e+01,6998,9.03899994e+01,695,8.97999954e+00,48,6.20000005e-01,1,9.99999978e-03,9398,7742,8.23799973e+01,,8.55599976e+01,,,"9997",0,0.00000000e+00
"02","045","999",38,36,9.47399979e+01,9493,9.95699997e+01,8877,9.31100006e+01,616,6.46000004e+00,36,3.79999995e-01,5,5.00000007e-02,12480,9534,7.63899994e+01,,8.09300003e+01,,,"9997",0,0.00000000e+00
"02","046","999",13,12,9.23099976e+01,2875,9.95800018e+01,2697,9.34199982e+01,178,6.17000008e+00,10,3.49999994e-01,2,5.99999987e-02,3771,2887,7.65599976e+01,,8.43700027e+01,,,"9997",0,0.00000000e+00
"02","047","999",52,50,9.61500015e+01,13295,9.96600037e+01,12187,9.13600006e+01,1108,8.31000042e+00,42,3.10000002e-01,3,1.99999996e-02,17053,13340,7.82300034e+01,,8.15699997e+01,,,"9997",0,0.00000000e+00
"02","048","999",35,33,9.42900009e+01,8474,9.98199997e+01,7997,9.41999969e+01,477,5.61999989e+00,8,9.00000036e-02,7,9.00000036e-02,10324,8489,8.22300034e+01,,8.81999969e+01,,,"9997",0,0.00000000e+00
"02","049","999",31,30,9.67699966e+01,7810,9.95800018e+01,7077,9.02300034e+01,733,9.35000038e+00,30,3.79999995e-01,3,3.99999991e-02,9537,7843,8.22399979e+01,,8.53700027e+01,,,"9997",0,0.00000000e+00
"02","050","999",1587,1540,9.70400009e+01,397791,9.90400009e+01,371438,9.24800034e+01,26353,6.55999994e+00,3602,8.99999976e-01,249,5.99999987e-02,556745,401642,7.21399994e+01,,7.43399963e+01,,,"9997",0,0.00000000e+00
"02","051","999",197,188,9.54300003e+01,53191,9.93499985e+01,47380,8.85000000e+01,5811,1.08500004e+01,295,5.50000012e-01,51,1.00000001e-01,69092,53537,7.74899979e+01,,8.12699966e+01,,,"9997",0,0.00000000e+00
"02","052","999",978,938,9.59100037e+01,254249,9.93300018e+01,238330,9.31100006e+01,15919,6.21999979e+00,1548,6.00000024e-01,158,7.00000003e-02,344370,255955,7.43300018e+01,,7.74700012e+01,,,"9997",0,0.00000000e+00
"02","053","999",642,629,9.79800034e+01,178060,9.93899994e+01,163409,9.12200012e+01,14651,8.18000031e+00,902,5.00000000e-01,185,1.00000001e-01,224902,179147,7.96600037e+01,,8.13399963e+01,,,"9997",0,0.00000000e+00
"02","054","999",49,45,9.18399963e+01,11743,9.96399994e+01,10703,9.08199997e+01,1040,8.81999969e+00,37,3.10000002e-01,5,5.00000007e-02,15532,11785,7.58799973e+01,,8.28199997e+01,,,"9997",0,0.00000000e+00
"02","055","999",76,74,9.73700027e+01,19476,9.97099991e+01,17825,9.12600021e+01,1651,8.44999981e+00,53,2.70000011e-01,4,1.99999996e-02,24301,19533,8.03799973e+01,,8.27600021e+01,,,"9997",0,0.00000000e+00
"02","056","999",32,32,1.00000000e+02,8768,9.93799973e+01,7427,8.41800003e+01,1341,1.51999998e+01,36,4.09999996e-01,19,2.09999993e-01,10420,8823,8.46699982e+01,,8.46699982e+01,,,"9997",0,0.00000000e+00
"02","057","999",31,28,9.03199997e+01,7516,9.99100037e+01,6987,9.28799973e+01,529,7.03000021e+00,6,7.99999982e-02,1,9.99999978e-03,9750,7523,7.71600037e+01,,8.51100006e+01,,,"9997",0,0.00000000e+00
"02","058","999",26,24,9.23099976e+01,5844,9.96900024e+01,5262,8.97600021e+01,582,9.93000031e+00,14,2.39999995e-01,4,7.00000003e-02,7872,5862,7.44700012e+01,,8.17200012e+01,,,"9997",0,0.00000000e+00
"02","059","999",55,52,9.45500031e+01,13417,9.93899994e+01,12255,9.07799988e+01,1162,8.60999966e+00,81,6.00000024e-01,2,9.99999978e-03,17051,13500,7.91699982e+01,,8.20800018e+01,,,"9997",0,0.00000000e+00
"02","060","999",228,225,9.86800003e+01,61023,9.95000000e+01,55950,9.12200012e+01,5073,8.27000046e+00,283,4.60000008e-01,26,5.00000007e-02,77012,61332,7.96399994e+01,,8.07399979e+01,,,"9997",0,0.00000000e+00
"02","061","999",2931,2796,9.53899994e+01,772030,9.94899979e+01,710723,9.15899963e+01,61307,7.90000010e+00,3491,4.49999988e-01,497,5.99999987e-02,1039718,776018,7.46399994e+01,,7.81800003e+01,,,"9997",0,0.00000000e+00
"02","062","999",1125,1078,9.58199997e+01,294200,9.95500031e+01,279050,9.44199982e+01,15150,5.13000011e+00,1186,4.00000006e-01,142,5.00000007e-02,394698,295528,7.48700027e+01,,7.80999985e+01,,,"9997",0,0.00000000e+00
"02","063","999",1596,1532,9.59899979e+01,420224,9.93600006e+01,395874,9.36100006e+01,24350,5.76000023e+00,2112,5.00000000e-01,583,1.29999995e-01,552687,422919,7.65199966e+01,,7.95599976e+01,,,"9997",0,0.00000000e+00
"02","064","999",31,30,9.67699966e+01,7575,9.96699982e+01,7053,9.28000031e+01,522,6.86999989e+00,19,2.50000000e-01,6,7.99999982e-02,9171,7600,8.28700027e+01,,8.30100021e+01,,,"9997",0,0.00000000e+00
"02","065","999",65,63,9.69199982e+01,16430,9.95899963e+01,14731,8.92900009e+01,1699,1.03000002e+01,65,3.89999986e-01,3,1.99999996e-02,20604,16498,8.00699997e+01,,8.28799973e+01,,,"9997",0,0.00000000e+00
"02","066","999",44,44,1.00000000e+02,11925,9.97300034e+01,10884,9.10299988e+01,1041,8.71000004e+00,31,2.59999990e-01,1,0.00000000e+00,14647,11957,8.16299973e+01,,8.16299973e+01,,,"9997",0,0.00000000e+00
"02","067","999",112,110,9.82099991e+01,29873,9.96800003e+01,27818,9.28300018e+01,2055,6.86000013e+00,88,2.89999992e-01,7,1.99999996e-02,35768,29968,8.37799988e+01,,8.48199997e+01,,,"9997",0,0.00000000e+00
"02","068","999",47,47,1.00000000e+02,11737,9.95299988e+01,11022,9.34599991e+01,715,6.05999994e+00,50,4.19999987e-01,6,5.99999987e-02,14239,11793,8.28199997e+01,,8.28199997e+01,,,"9997",0,0.00000000e+00
"02","069","999",91,88,9.66999969e+01,24343,9.96999969e+01,22308,9.13600006e+01,2035,8.32999992e+00,66,2.70000011e-01,8,3.99999991e-02,30122,24417,8.10599976e+01,,8.39800034e+01,,,"9997",0,0.00000000e+00
"02","070","999",1449,1404,9.68899994e+01,387529,9.93899994e+01,359007,9.20699997e+01,28522,7.30999994e+00,2089,5.40000021e-01,301,7.99999982e-02,513469,389919,7.59400024e+01,,7.83499985e+01,,,"9997",0,0.00000000e+00
"02","071","999",246,235,9.55299988e+01,65471,9.93799973e+01,60231,9.14300003e+01,5240,7.94999981e+00,374,5.69999993e-01,34,5.00000007e-02,85093,65879,7.74199982e+01,,8.08199997e+01,,,"9997",0,0.00000000e+00
"02","072","999",46,44,9.56500015e+01,11158,9.96699982e+01,10321,9.21900024e+01,837,7.48000002e+00,29,2.59999990e-01,8,7.00000003e-02,14331,11195,7.81200027e+01,,8.21299973e+01,,,"9997",0,0.00000000e+00
"02","073","999",31,31,1.00000000e+02,7874,9.96999969e+01,7245,9.17300034e+01,629,7.96000004e+00,21,2.70000011e-01,3,3.99999991e-02,9500,7898,8.31399994e+01,,8.31399994e+01,,,"9997",0,0.00000000e+00
"02","074","999",65,64,9.84599991e+01,17277,9.93799973e+01,16335,9.39700012e+01,942,5.42000008e+00,96,5.50000012e-01,11,5.99999987e-02,21516,17384,8.08000031e+01,,8.21200027e+01,,,"9997",0,0.00000000e+00
"02","075","999",120,118,9.83300018e+01,32960,9.93799973e+01,30100,9.07600021e+01,2860,8.61999989e+00,177,5.29999971e-01,28,9.00000036e-02,41572,33165,7.97799988e+01,,8.11399994e+01,,,"9997",0,0.00000000e+00
"02","076","999",157,154,9.80899963e+01,43112,9.94300003e+01,40458,9.33099976e+01,2654,6.11999989e+00,223,5.09999990e-01,24,5.99999987e-02,52957,43359,8.18799973e+01,,8.35299988e+01,,,"9997",0,0.00000000e+00
"02","077","999",1126,1062,9.43199997e+01,298471,9.93099976e+01,272309,9.06100006e+01,26162,8.71000004e+00,1836,6.10000014e-01,228,7.00000003e-02,396335,300535,7.58300018e+01,,8.03700027e+01,,,"9997",0,0.00000000e+00
"02","078","999",55,55,1.00000000e+02,14370,9.97399979e+01,13314,9.24100037e+01,1056,7.32999992e+00,36,2.50000000e-01,2,9.99999978e-03,17951,14408,8.02600021e+01,,8.02600021e+01,,,"9997",0,0.00000000e+00
"02","079","999",947,904,9.54599991e+01,256290,9.93099976e+01,230952,8.94899979e+01,25338,9.81999969e+00,1508,5.79999983e-01,277,1.09999999e-01,333566,258075,7.73700027e+01,,8.09800034e+01,,,"9997",0,0.00000000e+00
"02","080","999",789,777,9.84800034e+01,214580,9.93399963e+01,204873,9.48499985e+01,9707,4.48999977e+00,1272,5.89999974e-01,148,7.00000003e-02,277259,216000,7.79100037e+01,,7.90999985e+01,,,"9997",0,0.00000000e+00
"02","081","999",46,43,9.34800034e+01,11402,9.95100021e+01,10510,9.17300034e+01,892,7.78000021e+00,45,3.89999986e-01,11,1.00000001e-01,14126,11458,8.11100006e+01,,8.58799973e+01,,,"9997",0,0.00000000e+00
"02","082","999",238,231,9.70599976e+01,60920,9.93399963e+01,56742,9.25299988e+01,4178,6.80999994e+00,386,6.29999995e-01,18,2.99999993e-02,81746,61324,7.50199966e+01,,7.71100006e+01,,,"9997",0,0.00000000e+00
"02","083","999",125,123,9.84000015e+01,32757,9.95299988e+01,30510,9.26999969e+01,2247,6.82999992e+00,144,4.39999998e-01,12,2.99999993e-02,40391,32913,8.14899979e+01,,8.23799973e+01,,,"9997",0,0.00000000e+00
"02","084","999",281,279,9.92900009e+01,74779,9.93199997e+01,67623,8.98099976e+01,7156,9.50000000e+00,463,6.10000014e-01,50,7.99999982e-02,93333,75292,8.06699982e+01,,8.09899979e+01,,,"9997",0,0.00000000e+00
"02","085","999",101,100,9.90100021e+01,27259,9.92399979e+01,24489,8.91600037e+01,2770,1.00799999e+01,197,7.20000029e-01,11,3.99999991e-02,34033,27467,8.07099991e+01,,8.15400009e+01,,,"9997",0,0.00000000e+00
"02","086","999",16,16,1.00000000e+02,4322,9.98399963e+01,3937,9.09400024e+01,385,8.89000034e+00,5,1.19999997e-01,2,5.00000007e-02,5149,4329,8.40699997e+01,,8.40699997e+01,,,"9997",0,0.00000000e+00
"02","087","999",264,259,9.81100006e+01,69436,9.92799988e+01,64177,9.17600021e+01,5259,7.51999998e+00,457,6.49999976e-01,49,7.00000003e-02,87892,69942,7.95800018e+01,,8.09899979e+01,,,"9997",0,0.00000000e+00
"02","088","999",11,10,9.09100037e+01,2619,9.98899994e+01,2369,9.03499985e+01,250,9.52999973e+00,1,3.99999991e-02,2,7.99999982e-02,3047,2622,8.60500031e+01,,8.70800018e+01,,,"9997",0,0.00000000e+00
"02","089","999",623,615,9.87200012e+01,176629,9.92399979e+01,160811,9.03499985e+01,15818,8.89000034e+00,1079,6.10000014e-01,272,1.50000006e-01,219244,177980,8.11800003e+01,,8.21999969e+01,,,"9997",0,0.00000000e+00
"02","090","999",74,73,9.86500015e+01,18529,9.87300034e+01,16653,8.87300034e+01,1876,1.00000000e+01,160,8.50000024e-01,79,4.19999987e-01,25712,18768,7.29899979e+01,,7.40000000e+01,,,"9997",0,0.00000000e+00
"02","091","999",46,45,9.78300018e+01,11503,9.95400009e+01,10774,9.32300034e+01,729,6.30999994e+00,49,4.19999987e-01,4,3.99999991e-02,14477,11556,7.98199997e+01,,8.08199997e+01,,,"9997",0,0.00000000e+00
"02","092","999",1332,1266,9.50500031e+01,348257,9.95100021e+01,322279,9.20899963e+01,25978,7.42000008e+00,1472,4.19999987e-01,231,7.00000003e-02,468412,349960,7.47099991e+01,,7.85999985e+01,,,"9997",0,0.00000000e+00
"02","093","999",81,78,9.63000031e+01,21995,9.98000031e+01,19747,8.95999985e+01,2248,1.01999998e+01,36,1.59999996e-01,7,3.99999991e-02,27085,22038,8.13700027e+01,,8.46399994e+01,,,"9997",0,0.00000000e+00
"02","094","999",45,40,8.88899994e+01,10695,9.97900009e+01,9641,8.99499969e+01,1054,9.82999992e+00,19,1.80000007e-01,4,3.99999991e-02,13315,10718,8.05000000e+01,,8.73199997e+01,,,"9997",0,0.00000000e+00
"02","095","999",44,43,9.77300034e+01,11135,9.98899994e+01,10014,8.98399963e+01,1121,1.00600004e+01,9,7.99999982e-02,3,1.99999996e-02,13584,11147,8.20599976e+01,,8.42399979e+01,,,"9997",0,0.00000000e+00
"02","096","999",63,62,9.84100037e+01,16602,9.94400024e+01,14963,8.96299973e+01,1639,9.81999969e+00,87,5.19999981e-01,6,2.99999993e-02,20116,16695,8.29899979e+01,,8.44599991e+01,,,"9997",0,0.00000000e+00
