sub_votproCodigoProvincia,sub_votdepCodigoDepartamento,sub_votmunCodigoMunicipio,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido,subPorcenVotos,subCandidatos
"20","001","003","0701","3015",,936,7.82999992e+00,
"20","001","003","0701","3016",,5833,4.87799988e+01,
"20","001","003","0701","3036",,2930,2.45000000e+01,
"20","001","003","0701","3100",,478,4.00000000e+00,
"20","001","003","0701","3113",,900,7.53000021e+00,
"20","001","003","0701","3139",,880,7.36000013e+00,
"20","001","003","0702","3013",,582,5.51999998e+00,
"20","001","003","0702","3052",,887,8.40999985e+00,
"20","001","003","0702","3116",,5808,5.50600014e+01,
"20","001","003","0702","3119",,1799,1.70599995e+01,
"20","001","003","0702","3125",,346,3.27999997e+00,
"20","001","003","0702","3136",,1126,1.06800003e+01,
"20","001","004","0701","3027",,1789,4.33499985e+01,
"20","001","004","0701","3034",,391,9.47000027e+00,
"20","001","004","0701","3085",,574,1.39099998e+01,
"20","001","004","0701","3130",,487,1.18000002e+01,
"20","001","004","0701","3137",,886,2.14699993e+01,
"20","001","004","0702","3001",,206,3.94000006e+00,
"20","001","004","0702","3002",,230,4.40000010e+00,
"20","001","004","0702","3019",,1073,2.05499992e+01,
"20","001","004","0702","3025",,1281,2.45300007e+01,
"20","001","004","0702","3053",,721,1.38100004e+01,
"20","001","004","0702","3071",,243,4.65000010e+00,
"20","001","004","0702","3102",,241,4.61999989e+00,
"20","001","004","0702","3108",,256,4.90000010e+00,
"20","001","004","0702","3131",,971,1.85900002e+01,
"20","001","005","0701","3017",,1291,2.34300003e+01,
"20","001","005","0701","3042",,1261,2.28899994e+01,
"20","001","005","0701","3048",,686,1.24499998e+01,
"20","001","005","0701","3122",,2071,3.75900002e+01,
"20","001","005","0701","3124",,200,3.63000011e+00,
"20","001","005","0702","3011",,318,8.18000031e+00,
"20","001","005","0702","3105",,2224,5.72000008e+01,
"20","001","005","0702","3133",,799,2.05499992e+01,
"20","001","005","0702","3134",,269,6.92000008e+00,
"20","001","005","0702","3135",,278,7.15000010e+00,
"20","001","006","0701","3030",,50,2.29999995e+00,
"20","001","006","0701","3031",,507,2.33500004e+01,
"20","001","006","0701","3039",,498,2.29400005e+01,
"20","001","006","0701","3046",,88,4.05000019e+00,
"20","001","006","0701","3049",,45,2.06999993e+00,
"20","001","006","0701","3086",,96,4.42000008e+00,
"20","001","006","0701","3099",,887,4.08600006e+01,
"20","001","006","0702","3022",,459,1.04300003e+01,
"20","001","006","0702","3054",,2459,5.58699989e+01,
"20","001","006","0702","3094",,405,9.19999981e+00,
"20","001","006","0702","3142",,1078,2.44899998e+01,
"20","002","011","0701","3076",,314,1.00000000e+02,
"20","002","011","0702","3008",,457,2.45599995e+01,
"20","002","011","0702","3069",,216,1.16099997e+01,
"20","002","011","0702","3087",,317,1.70300007e+01,
"20","002","011","0702","3129",,871,4.67999992e+01,
"20","002","012","0701","3070",,392,4.22400017e+01,
"20","002","012","0701","3104",,134,1.44399996e+01,
"20","002","012","0701","3127",,402,4.33199997e+01,
"20","002","012","0702","3081",,584,2.56800003e+01,
"20","002","012","0702","3095",,1213,5.33400002e+01,
"20","002","012","0702","3120",,477,2.09799995e+01,
"20","003","013","0701","3045",,91,2.81999993e+00,
"20","003","013","0701","3141",,3134,9.71800003e+01,
"20","003","013","0702","3090",,146,6.59000015e+00,
"20","003","013","0702","3093",,1549,6.98700027e+01,
"20","003","013","0702","3117",,522,2.35499992e+01,
"20","004","014","0701","3074",,282,5.18400002e+01,
"20","004","014","0701","3101",,262,4.81599998e+01,
"20","004","014","0702","3021",,637,4.42099991e+01,
"20","004","014","0702","3078",,804,5.57900009e+01,
"20","005","001","0701","3038",,335,2.48500004e+01,
"20","005","001","0701","3079",,690,5.11899986e+01,
"20","005","001","0701","3080",,122,9.05000019e+00,
"20","005","001","0701","3098",,201,1.49099998e+01,
"20","005","001","0702","3106",,2571,1.00000000e+02,
"20","005","002","0701","3096",,530,1.00000000e+02,
"20","005","002","0702","3068",,259,1.19700003e+01,
"20","005","002","0702","3107",,608,2.81100006e+01,
"20","005","002","0702","3114",,593,2.74200001e+01,
"20","005","002","0702","3132",,703,3.25000000e+01,
"20","006","010","0701","3032",,218,8.36999989e+00,
"20","006","010","0701","3033",,698,2.67800007e+01,
"20","006","010","0701","3047",,558,2.14099998e+01,
"20","006","010","0701","3128",,183,7.01999998e+00,
"20","006","010","0701","3140",,949,3.64199982e+01,
"20","006","010","0702","3014",,2427,3.78300018e+01,
"20","006","010","0702","3028",,644,1.00400000e+01,
"20","006","010","0702","3103",,3345,5.21399994e+01,
"20","007","007","0701","3007",,7817,2.83099995e+01,
"20","007","007","0701","3009",,3963,1.43500004e+01,
"20","007","007","0701","3018",,2144,7.76999998e+00,
"20","007","007","0701","3040",,3773,1.36599998e+01,
"20","007","007","0701","3044",,977,3.53999996e+00,
"20","007","007","0701","3050",,2644,9.57999992e+00,
"20","007","007","0701","3067",,6293,2.27900009e+01,
"20","007","007","0702","3024",,7322,3.33600006e+01,
"20","007","007","0702","3082",,1205,5.48999977e+00,
"20","007","007","0702","3083",,734,3.33999991e+00,
"20","007","007","0702","3109",,983,4.48000002e+00,
"20","007","007","0702","3115",,5367,2.44500008e+01,
"20","007","007","0702","3123",,4686,2.13500004e+01,
"20","007","007","0702","3126",,1651,7.51999998e+00,
"20","007","008","0701","3041",,154,6.32000017e+00,
"20","007","008","0701","3073",,1512,6.20900002e+01,
"20","007","008","0701","3084",,769,3.15799999e+01,
"20","007","008","0702","3012",,667,2.35900002e+01,
"20","007","008","0702","3026",,1109,3.92099991e+01,
"20","007","008","0702","3029",,232,8.19999981e+00,
"20","007","008","0702","3072",,820,2.90000000e+01,
"20","007","009","0701","3003",,191,1.68700008e+01,
"20","007","009","0701","3010",,313,2.76499996e+01,
"20","007","009","0701","3035",,231,2.04099998e+01,
"20","007","009","0701","3111",,139,1.22799997e+01,
"20","007","009","0701","3112",,258,2.27900009e+01,
"20","007","009","0702","3004",,1178,3.93600006e+01,
"20","007","009","0702","3005",,660,2.20499992e+01,
"20","007","009","0702","3020",,660,2.20499992e+01,
"20","007","009","0702","3075",,267,8.92000008e+00,
"20","007","009","0702","3110",,228,7.61999989e+00,
